evidence_id,source,domain,url,title,observed_evidence,classified_model,functional_clarity_1_5,minimalism_1_5,mobile_1_5,reduced_motion_1_5,cms_resilience_1_5,motion_cost_1_5,smyc_fit_1_5,verdict,evidence_confidence,decision_rationale,access_limitation,cohort
11,Awwwards,awwwards.com,https://www.awwwards.com/sites/hiroto-sato,Hiroto Sato - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, interactive, portfolio",hidden-offstage,3,4,2,3,3,4,4,채택,5/5,"전환, motion, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
12,Awwwards,awwwards.com,https://www.awwwards.com/sites/house-of-honey-1,House of Honey - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial,center-only,5,5,4,5,5,1,5,보조 채택,5/5,"미니멀, editorial, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
13,Awwwards,awwwards.com,https://www.awwwards.com/sites/kononenko-architectural-bureau,Kononenko Architectural Bureau - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architectural, minimal, typography",partial-visible,4,5,4,3,5,1,5,채택,5/5,"가림, 개구부, architect, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
14,Awwwards,awwwards.com,https://www.awwwards.com/sites/longbow,Longbow - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, typography, clean",center-only,5,5,4,5,5,1,5,채택,5/5,"미니멀, clean, typography",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
15,Awwwards,awwwards.com,https://www.awwwards.com/sites/made-with-gsap-1,Made With Gsap - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: gsap,partial-visible,4,4,4,3,5,1,4,채택,5/5,"가림, 개구부, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
16,Awwwards,awwwards.com,https://www.awwwards.com/sites/made-in-may,Made in May - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: transition, interaction",hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"transition, 전환, 모션, interaction",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
17,Awwwards,awwwards.com,https://www.awwwards.com/sites/mr-day,Mr Day - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture, animation",partial-visible,4,4,4,3,5,1,4,채택,5/5,"가림, 개구부, architect, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
18,Awwwards,awwwards.com,https://www.awwwards.com/sites/nexola-agencys-website,NEXOLA - Agency’s Website - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, portfolio",layered-stack,3,4,2,3,3,4,4,채택,3/5,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, portfolio",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
19,Awwwards,awwwards.com,https://www.awwwards.com/sites/normal-is-boring,NORMAL IS BORING - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion,hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"전환, motion, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
20,Awwwards,awwwards.com,https://www.awwwards.com/sites/no-art,No Art - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive, interactive",layered-stack,3,2,2,3,3,4,2,채택,4/5,immersive,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
21,Awwwards,awwwards.com,https://www.awwwards.com/sites/noomo-showcase,Noomo Showcase - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,layered-stack,3,2,2,3,3,4,2,채택,4/5,immersive,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
22,Awwwards,awwwards.com,https://www.awwwards.com/sites/obys-r-experiment-space,Obys® Experiment Space - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interactive,partial-visible,4,4,4,3,5,1,4,채택,5/5,"가림, 개구부, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
23,Awwwards,awwwards.com,https://www.awwwards.com/sites/oobe-xr,Oobe-Xr - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,layered-stack,3,2,2,3,3,4,2,채택,4/5,immersive,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
24,Awwwards,awwwards.com,https://www.awwwards.com/sites/planetooote-digital-obsession,PLANETOOOTE :Digital Obsession - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,layered-stack,3,2,2,3,3,4,2,채택,4/5,immersive,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
25,Awwwards,awwwards.com,https://www.awwwards.com/sites/pelizzari-studio-2,Pelizzari Studio - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture,partial-visible,4,4,4,3,5,1,4,채택,5/5,"가림, 개구부, architect, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
26,Awwwards,awwwards.com,https://www.awwwards.com/sites/radian,Radian - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: scroll, interaction",hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"전환, 모션, interaction",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
27,Awwwards,awwwards.com,https://www.awwwards.com/sites/sstr-friction-reduction,SSTR - Friction Reduction - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, minimal, editorial, grid",center-only,5,5,4,5,5,1,5,채택,5/5,"minimal, 미니멀, editorial",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
28,Awwwards,awwwards.com,https://www.awwwards.com/sites/spotify-wrapped-party,Spotify Wrapped Party - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: layer,partial-visible,4,4,4,3,5,1,4,채택,5/5,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
29,Awwwards,awwwards.com,https://www.awwwards.com/sites/trionn-2,TRIONN - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: three.js, motion, gsap",hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"전환, motion, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
30,Awwwards,awwwards.com,https://www.awwwards.com/sites/viacheslav-novoseltsev,Viacheslav Novoseltsev - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio,layered-stack,3,4,2,3,3,4,4,보조 채택,3/5,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
31,Awwwards,awwwards.com,https://www.awwwards.com/sites/yungbld-creative-studio,YUNGBLD CREATIVE STUDIO - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation,partial-visible,4,4,4,3,5,1,4,채택,5/5,"가림, 개구부, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
32,Awwwards,awwwards.com,https://www.awwwards.com/sites/kettal-com,kettal.com - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,layered-stack,3,2,2,3,3,4,2,채택,4/5,immersive,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
33,Awwwards,awwwards.com,https://www.awwwards.com/sites/apini-studio,àpini studio - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: clean,center-only,5,5,4,5,5,1,5,보조 채택,5/5,"미니멀, 여백, clean",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
34,Codrops,tympanus.net,https://tympanus.net/codrops/2025/05/27/animated-product-grid-preview-with-gsap-clip-path/,Animated Product Grid Preview with GSAP & Clip-Path,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: clip, interactive, gsap, grid",partial-visible,4,5,4,3,5,1,5,채택,5/5,"마스크, 가림, 개구부, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
35,Codrops,tympanus.net,https://tympanus.net/codrops/2026/03/31/arnaud-roccas-portfolio-from-a-gsap-powered-motion-system-to-fluid-webgl/,Arnaud Rocca’s Portfolio: From a GSAP-Powered Motion System to Fluid WebGL,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: webgl, animation, motion, transition, interaction, portfolio",hidden-offstage,3,4,2,3,3,4,4,채택,5/5,"transition, 전환, motion, 모션, interaction",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
36,Codrops,tympanus.net,https://tympanus.net/codrops/2025/11/20/behind-the-kai-design-dept-experience-webgl-line-blur-video-scrubbing-and-3d-animation/,"Behind the KAI Design Dept. Experience: WebGL Line Blur, Video Scrubbing, and 3D Animation","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, webgl, animation",layered-stack,3,2,2,3,3,4,2,채택,5/5,"3d, webgl",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
37,Codrops,tympanus.net,https://tympanus.net/codrops/2026/07/27/between-print-and-digital-the-making-of-mersis-website/,Between Print and Digital: The Making of MERSI’s Website,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: immersive, architectural, motion, interactive, editorial, quiet",center-only,5,5,4,5,5,1,5,채택,5/5,"미니멀, editorial",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
38,Codrops,tympanus.net,https://tympanus.net/codrops/2025/08/06/building-aether-1-sound-without-boundaries/,Building Aether 1: Sound Without Boundaries,"A case study on Aether 1, where 3D, sound, and WebGL merge into an unbounded experience.",layered-stack,3,2,2,3,3,4,2,"채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용",5/5,"3d, webgl",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
39,Codrops,tympanus.net,https://tympanus.net/codrops/2026/02/26/building-async-page-transitions-in-vanilla-javascript/,Building Async Page Transitions in Vanilla JavaScript,"Learn how to build a lightweight SPA router with true async crossfade page transitions using Vanilla JavaScript, GSAP, and Vite — no framework required.",center-only,5,5,4,5,5,1,5,"부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제",4/5,"fade, crossfade",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
40,Codrops,tympanus.net,https://tympanus.net/codrops/2025/04/08/3d-world-in-the-browser-with-blender-and-three-js/,Building a Fully-Featured 3D World in the Browser with Blender and Three.js,"Go behind the scenes of an immersive 3D museum built with Blender and Three.js, and explore the creative process, technical decisions, and browser-ready workflow that brought it to life.",layered-stack,3,2,2,3,3,4,2,"채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용",5/5,"3d, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
41,Codrops,tympanus.net,https://tympanus.net/codrops/2025/10/29/building-a-layered-zoom-scroll-effect-with-gsap-scrollsmoother-and-scrolltrigger/,Building a Layered Zoom Scroll Effect with GSAP ScrollSmoother and ScrollTrigger,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: depth, layer, layered, animation, scroll, gsap",partial-visible,4,4,4,3,5,1,4,채택,5/5,"마스크, 가림, 개구부, 건축, depth, 깊이, layer, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
42,Codrops,tympanus.net,https://tympanus.net/codrops/2026/03/09/building-a-scroll-reactive-3d-gallery-with-three-js-velocity-and-mood-based-backgrounds/,"Building a Scroll-Reactive 3D Gallery with Three.js, Velocity, and Mood-Based Backgrounds","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: depth, 3d, webgl, three.js, layer, layered, gallery, motion, scroll",layered-stack,3,2,2,3,3,4,2,채택,5/5,"3d, webgl, depth, layered",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
43,Codrops,tympanus.net,https://tympanus.net/codrops/2026/02/02/building-a-scroll-revealed-webgl-gallery-with-gsap-three-js-astro-and-barba-js/,"Building a Scroll-Revealed WebGL Gallery with GSAP, Three.js, Astro and Barba.js","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: webgl, three.js, reveal, gallery, transition, scroll, gsap",hidden-offstage,3,4,2,3,3,4,4,채택,5/5,"reveal, transition, 전환, 모션, 마스크",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
44,Codrops,tympanus.net,https://tympanus.net/codrops/2023/04/27/building-a-webgl-carousel-with-react-three-fiber-and-gsap/,Building a WebGL Carousel with React Three Fiber and GSAP,"Learn how to create an interactive 3D carousel using WebGL, React Three Fiber, and GSAP with this step-by-step tutorial.",layered-stack,3,2,2,3,3,4,2,"채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용",5/5,"3d, webgl, carousel",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
45,Codrops,tympanus.net,https://tympanus.net/codrops/2026/07/30/building-an-infinite-gsap-scroll-gallery-with-parallax-and-flip-transitions/,Building an Infinite GSAP Scroll Gallery with Parallax and Flip Transitions,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: reveal, gallery, infinite, animation, transition, scroll, gsap",hidden-offstage,3,4,2,3,3,4,4,채택,5/5,"reveal, transition, 전환, 모션, 마스크",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
46,Codrops,tympanus.net,https://tympanus.net/codrops/2026/07/09/building-an-interactive-wave-propagation-cube-grid-with-three-js/,Building an Interactive Wave Propagation Cube Grid with Three.js,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, three.js, interactive, minimal, grid",center-only,5,5,4,5,5,1,5,채택,5/5,"minimal, 미니멀",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
47,Codrops,tympanus.net,https://tympanus.net/codrops/2025/03/03/css-meets-voxel-art-building-a-rendering-engine-with-stacked-grids/,CSS Meets Voxel Art: Building a Rendering Engine with Stacked Grids,"Learn how transforms, perspective, and stacked grids can create a fully addressable 3D space and push the boundaries of what’s possible with pure CSS.",layered-stack,3,3,2,3,3,4,3,"채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용",5/5,"stack, 3d, perspective",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
48,Codrops,tympanus.net,https://tympanus.net/codrops/2025/11/10/crafting-generative-css-worlds/,Crafting Generative CSS Worlds,Learn how stacked grids and 3D transforms can bring heightmaps to life using nothing but the power of CSS.,layered-stack,3,3,2,3,3,4,3,"채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용",5/5,"stack, 3d",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
49,Codrops,tympanus.net,https://tympanus.net/codrops/2025/09/18/creating-an-immersive-3d-weather-visualization-with-react-three-fiber/,Creating an Immersive 3D Weather Visualization with React Three Fiber,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, immersive, interactive",layered-stack,3,2,2,3,3,4,2,채택,5/5,"3d, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
50,Codrops,tympanus.net,https://tympanus.net/codrops/2026/05/02/designing-against-the-gallery-a-two-year-journey-to-a-layered-portfolio-experience/,Designing Against the Gallery: A Two-Year Journey to a Layered Portfolio Experience,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: layer, layered, gallery, portfolio",partial-visible,4,5,4,3,5,1,5,채택,5/5,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어, gallery",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
51,Codrops,tympanus.net,https://tympanus.net/codrops/2025/06/25/designing-truekind-a-skincare-brands-journey-through-moodboards-motion-and-meaning/,"Designing TrueKind: A Skincare Brand’s Journey Through Moodboards, Motion, and Meaning","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: reveal, motion, gsap",hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"reveal, 전환, motion, 모션, 마스크",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
52,Codrops,tympanus.net,https://tympanus.net/codrops/2025/01/24/developer-spotlight-mario-sanchez-maselli/,Developer Spotlight: Mario Sanchez Maselli,"Meet Mario, developer &#038; co-founder of Non-Linear Studio. Specializing in interactive design, animation, 3D, WebGL, &#038; creative development.",layered-stack,3,2,2,3,3,4,2,"채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용",5/5,"3d, webgl",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
53,Codrops,tympanus.net,https://tympanus.net/codrops/2026/03/24/digital-craft-wild-soul-building-san-ritas-topographic-web-experience/,"Digital Craft, Wild Soul: Building San Rita’s Topographic Web Experience","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, immersive, motion, portfolio",layered-stack,3,3,2,3,3,4,3,채택,5/5,"3d, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
54,Codrops,tympanus.net,https://tympanus.net/codrops/2012/04/30/fluid-css3-slideshow-with-parallax-effect/,Fluid CSS3 Slideshow with Parallax Effect | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: depth, 3d, webgl, three.js, clip, reveal, window, carousel, slider, slideshow, animation, transition, scroll, interaction, portfolio, grid, performance",hidden-offstage,4,4,2,3,3,4,4,채택,5/5,"reveal, transition, 전환, slide, 모션, interaction, 마스크, clip",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
55,Codrops,tympanus.net,https://tympanus.net/codrops/2025/10/03/fluid-worlds-and-layered-visions-tomoya-okadas-digital-craft/,Fluid Worlds and Layered Visions: Tomoya Okada’s Digital Craft,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: immersive, layer, layered, motion",partial-visible,4,4,4,3,5,2,4,채택,5/5,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
56,Codrops,tympanus.net,https://tympanus.net/codrops/2026/02/24/from-flat-to-spatial-creating-a-3d-product-grid-with-react-three-fiber/,From Flat to Spatial: Creating a 3D Product Grid with React Three Fiber,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: spatial, 3d, animation, grid, performance",center-only,5,5,4,5,5,1,5,채택,5/5,"미니멀, 접근성",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
57,Codrops,tympanus.net,https://tympanus.net/codrops/2026/05/06/from-shader-uniforms-to-clip-path-wipes-how-gsap-drives-my-portfolio/,From Shader Uniforms to Clip-Path Wipes: How GSAP Drives My Portfolio,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: clip, reveal, gsap, portfolio",hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"reveal, 전환, 모션, 마스크, clip, wipe",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
58,Codrops,tympanus.net,https://tympanus.net/codrops/2025/10/08/how-to-animate-webgl-shaders-with-gsap-ripples-reveals-and-dynamic-blur-effects/,"How to Animate WebGL Shaders with GSAP: Ripples, Reveals, and Dynamic Blur Effects","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: webgl, reveal, gsap",hidden-offstage,3,4,2,3,3,4,4,채택,5/5,"reveal, 전환, 모션, 마스크",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
59,Codrops,tympanus.net,https://tympanus.net/codrops/2025/11/19/how-to-build-cinematic-3d-scroll-experiences-with-gsap/,How to Build Cinematic 3D Scroll Experiences with GSAP,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, webgl, three.js, immersive, motion, scroll, gsap",layered-stack,3,2,2,3,3,4,2,채택,5/5,"3d, webgl, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
60,Codrops,tympanus.net,https://tympanus.net/codrops/2025/10/13/how-to-build-an-immersive-3d-circular-carousel-in-wordpress-using-droip/,How to Build an Immersive 3D Circular Carousel in WordPress Using Droip,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, immersive, carousel",layered-stack,3,2,2,3,3,4,2,채택,5/5,"3d, carousel, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
61,Codrops,tympanus.net,https://tympanus.net/codrops/2013/02/27/image-techniques-for-creating-depth-in-web-design/,Image Techniques for Creating Depth in Web Design | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, layer, clip, window, animation, motion, transition, scroll, portfolio, grid, performance",partial-visible,4,5,4,3,5,2,5,채택,5/5,"마스크, 가림, 개구부, 건축, depth, 깊이, perspective, layer, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
62,Codrops,tympanus.net,https://tympanus.net/codrops/2026/06/29/inside-bisous-designing-an-editorial-experience-for-cinematic-cgi/,Inside Bisous: Designing an Editorial Experience for Cinematic CGI,"A behind-the-scenes look at how editorial composition, purposeful motion, and minimalist design create a portfolio that lets cinematic CGI take the spotlight.",center-only,5,5,4,5,5,1,5,"부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제",4/5,"minimal, editorial, 에디토리얼",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
63,Codrops,tympanus.net,https://tympanus.net/codrops/2026/03/05/inside-corentin-bernadous-portfolio-swiss-inspired-layouts-webgl-geometry-and-thoughtful-motion/,"Inside Corentin Bernadou’s Portfolio: Swiss-Inspired Layouts, WebGL Geometry, and Thoughtful Motion","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: webgl, motion, editorial, portfolio",center-only,5,5,4,5,5,1,5,채택,5/5,"미니멀, editorial",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
