"source","url","title","published","observed_evidence","pattern","adopt_or_reject"
"Codrops","https://tympanus.net/codrops/2020/03/02/ui-interactions-animations-roundup-4/","UI Interactions &#038; Animations Roundup #4","2020-03-02","A fresh dose of inspiration to get you updated on the latest UI animation and interaction trends.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2020/08/05/magnetic-buttons/","Magnetic Buttons","2020-08-05","A small set of magnetic buttons with some fun hover animations.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2020/08/27/design-dev-review-a-new-place-to-find-free-high-quality-design-resources/","Design.dev: A New Place to Find Free High-Quality Design Resources","2020-08-27","The hip new design resource site Design.dev will provide you with unique resources and premium designs that you won’t find anywhere else.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2020/09/22/ui-interactions-animations-roundup-10/","UI Interactions &#038; Animations Roundup #10","2020-09-22","Check out the latest trends in web motion design, UI interaction and animations and get inspired.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2020/10/22/ui-interactions-animations-roundup-11/","UI Interactions &#038; Animations Roundup #11","2020-10-22","A new hand-picked collection of great web motion design concepts, UI interactions and animations.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2020/11/30/11-massive-cyber-monday-2020-deals-with-up-to-94-off/","11 Massive Cyber Monday 2020 Deals With Up to 94% Off","2020-11-30","Find out where you can get exclusive Cyber Monday deals for web professionals with great discounts.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2020/12/01/crafting-a-scrollable-and-draggable-parallax-slider/","Crafting a Scrollable and Draggable Parallax Slider","2020-12-01","A tutorial on how to build a slider with an interesting parallax effect that you can either scroll or drag through.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2020/12/08/horizontal-smooth-scroll-layouts/","Horizontal Smooth Scroll Layouts","2020-12-08","Some ideas for horizontal smooth scrolling layouts powered by Locomotive Scroll.","모션 / 건축·에디토리얼","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2021/02/05/ui-interactions-animations-roundup-14/","UI Interactions &#038; Animations Roundup #14","2021-02-05","Some selected animation shots that explore experimental and modern ideas for interactions on the web.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2021/05/18/ui-interactions-animations-roundup-16/","UI Interactions &#038; Animations Roundup #16","2021-05-18","Get inspired with this special pick of the best UI animation and interaction shots from the past couple of weeks.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2021/06/23/inline-to-menu-link-animation/","Inline to Menu Link Animation","2021-06-23","An experimental inline-to-menu-link animation based on a concept by Matthew Hall.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2021/08/02/magical-marbles-in-three-js/","Magical Marbles in Three.js","2021-08-02","Adding volumetric effects to a built-in Three.js shader.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2021/08/16/abstract-image-carousel-ogl-glsl-gsap/","Create an Abstract Image Slideshow with OGL, GLSL, and GSAP","2021-08-16","Learn how to create a WebGL-powered image slideshow animated using a single value.","공간 깊이 / 캐러셀","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2021/08/17/how-be-and-the-muffin-builder-will-reinvent-the-way-you-build-websites/","How Be and the Muffin Builder will reinvent the way you build websites","2021-08-17","One of the fastest and most intuitive page builders is an integral part of BeTheme’s’ all-in-one WordPress toolkit. Learn more about how the Muffin Live Builder can transform the way you work.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/01/05/crafting-scroll-based-animations-in-three-js/","Crafting Scroll Based Animations in Three.js","2022-01-05","Learn how to create a scroll based animation in WebGL with Three.js.","공간 깊이 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2022/03/05/ui-interactions-animations-roundup-22/","UI Interactions &#038; Animations Roundup #22","2022-03-05","The latest motion design concepts and web animation inspiration from the past couple of weeks.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2022/03/08/15-awesome-tools-and-resources-for-designers-and-agencies-in-2022/","15 Awesome Tools and Resources for Designers and Agencies in 2022","2022-03-08","15 top tools and resources for designers and agencies you can put to use to enrich your 2022 web design projects.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/04/22/ui-interactions-animations-roundup-23/","UI Interactions &#038; Animations Roundup #23","2022-04-22","A fresh set of selected motion design shots for your inspiration.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2022/04/26/8-multipurpose-wordpress-themes-to-use-in-2022/","8 Multipurpose WordPress Themes to Use in 2022","2022-04-26","A selection of the most popular and flexible multipurpose WordPress themes for building almost any type of website.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/05/23/creating-an-infinite-distorted-slider-with-pixijs-and-bezier-curves/","Creating an Infinite Distorted Slider with PixiJS and Bézier Curves","2022-05-23","A coding session where you’ll learn how to recreate the infinite distorted slider from Yuto Takahashi’s website using PixiJS.","캐러셀","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2022/06/01/coding-an-infinite-slider-using-texture-recursion-with-three-js/","Coding an Infinite Slider using Texture Recursion with Three.js","2022-06-01","A coding session where you’ll learn how to recreate the infinite image slider seen on tismes.com using Three.js.","공간 깊이 / 캐러셀","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2022/08/03/large-image-to-content-page-transition/","Large Image to Content Page Transition","2022-08-03","A simple scroll effect and page transition inspired by Vitalii Burhonskyi’s Dribbble shot.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2022/08/16/awesome-demos-roundup-21/","Awesome Demos Roundup #21","2022-08-16","A fresh roundup of the most interesting code experiments from the past couple of weeks.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/09/06/best-10-woocommerce-themes-to-consider-in-2022/","Best 10 WooCommerce Themes to Consider in 2022","2022-09-06","A hand-picked selection of the best WooCommerce themes to get your online store up and running quickly.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/10/03/effortless-javascript-image-editing-with-pintura/","Effortless JavaScript Image Editing With Pintura","2022-10-03","Learn how you can use Pintura, the robust JS image editor, to crop, resize, rotate, apply filters, or fine-tune your images.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/11/15/how-to-design-the-ideal-hero-image-for-your-online-portfolio/","How to Design the Ideal Hero Image for Your Online Portfolio","2022-11-15","Making a good impression with your portfolio site starts with your hero image. In this post, we’ll take a look at 6 areas where you can create a hero image that can make your design.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/11/26/awesome-demos-roundup-22/","Awesome Demos Roundup #22","2022-11-26","The latest collection of the most creative and inspiring demos and code experiments from around the web.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2022/11/28/today-only-8-best-cyber-monday-2022-deals-for-designers-and-agencies/","Today only! 8 Best Cyber Monday 2022 Deals for Designers and Agencies","2022-11-28","A collection of attractive Cyber Monday deals that can help you and your business.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/01/10/best-10-wordpress-themes-to-consider-in-2023/","Best 10+ WordPress Themes to Consider in 2023","2023-01-10","This article features 12 of the best WordPress themes for 2023 that are designed to beautifully present content, engage visitors, and boost your brand’s online presence.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/01/17/9-best-wordpress-plugins-for-2023/","9 Best WordPress Plugins for 2023","2023-01-17","A collection of great WordPress plugins to boost your business in 2023.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/01/24/10-best-tools-resources-for-web-designers-in-2023/","10+ Best Tools & Resources for Web Designers in 2023","2023-01-24","This article highlights the top tools and resources for web designers in 2023 to help improve productivity.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/02/21/prebuilt-websites-woocommerce-stores/","12 Best Prebuilt Websites for WooCommerce and Retail","2023-02-21","BeTheme has everything you need to build a high-performing shop for your ecommerce or retail business. Check out 12 of the best prebuilt ecommerce websites that come with BeTheme.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/03/07/best-themes-woocoomerce-2023/","11 Best WooCommerce Themes for 2023","2023-03-07","Discover the best WooCommerce themes to help create an intuitive and seamless on-brand buying experience for your visitors.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/03/16/awesome-demos-roundup-24/","Awesome Demos Roundup #24","2023-03-16","A collection of creative code experiments from the past couple of weeks.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/03/22/cyberpunk-inspired-three-js-scene-with-javascript-and-blender/","Cyberpunk inspired Three.js Scene with JavaScript and Blender","2023-03-22","Learn how to code a vibrant Cyberpunk scene using Three.js, complete with post-processing and dynamic lighting, no shader expertise needed!","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2023/03/30/mastering-theatre-js-animations-learn-to-create-dynamic-visuals/","Mastering Theatre.js Animations: Learn to Create Dynamic Visuals","2023-03-30","Learn how to code stunning animations with Theatre.js in this beginner-friendly tutorial.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2023/04/24/5-javascript-ui-components-to-never-ask-how-do-i-build-that-again/","5 JavaScript UI Components to Never Ask “How Do I Build That” Again","2023-04-24","Discover how Progress Kendo UI, a commercial-grade UI library featuring data grids, charts, schedulers, date pickers, and rich content editors, streamlines UI development and saves time for web developers.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/04/25/case-study-studiogusto/","Case Study: Studiogusto","2023-04-25","Get a glimpse of the creative and innovative techniques used by Studiogusto, a dynamic agency, in designing their new website to better reflect their values and showcase their expertise.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/04/27/building-a-webgl-carousel-with-react-three-fiber-and-gsap/","Building a WebGL Carousel with React Three Fiber and GSAP","2023-04-27","Learn how to create an interactive 3D carousel using WebGL, React Three Fiber, and GSAP with this step-by-step tutorial.","공간 깊이 / 캐러셀","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2023/05/04/ideas-for-grid-to-slideshow-switch-animations/","Ideas for Grid to Slideshow Switch Animations","2023-05-04","Some ideas and inspiration for layout animations where we go from an irregular grid to a slideshow or alternative view.","캐러셀 / 모션 / 건축·에디토리얼","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2023/06/16/4-exclusive-demos-slideshows-typographic-animations/","4 Exclusive Demos: Slideshows &#038; Typographic Animations","2023-06-16","Four distinct demos, from image slideshows to on-scroll typography and hover effects.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2023/09/18/5-essential-kendo-ui-for-angular-components-you-need-to-know/","5 Essential Kendo UI for Angular Components You Need to Know","2023-09-18","The Kendo UI for Angular components library contains over 120 native components, including controls, navigation, layout tools, and complex data grids. Top five Kendo UI components users love for avoiding learning and development time.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/11/21/10-best-black-friday-2023-deals-for-designers-agencies/","10 Best Black Friday 2023 Deals for Designers & Agencies","2023-11-21","Unlock incredible Black Friday deals for web designers and design agencies without braving the crowds—discover exclusive online offers to enhance your business and design endeavors.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/11/24/ui-interactions-animations-roundup-38/","UI Interactions &#038; Animations Roundup #38","2023-11-24","Explore the latest highlights from the dynamic world of UI animations and interactive designs on Dribbble, crafted by skillful designers.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2023/12/04/frontend-rewind-2023-day-04/","Frontend Rewind 2023 – Day 04","2023-12-04","Step into Day 4 of &#8220;Frontend Rewind 2023&#8221;! Continue the journey through the trends and highlights shaping frontend in 2023.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/12/15/frontend-rewind-2023-day-15/","Frontend Rewind 2023 – Day 15","2023-12-15","Day 15 of our special calendar awaits with more frontend links from 2023.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/12/21/frontend-rewind-2023-day-21/","Frontend Rewind 2023 – Day 21","2023-12-21","Day 21 of “Frontend Rewind 2023” awaits! Explore another day of revisiting the standout highlights of 2023.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2023/12/24/frontend-rewind-2023-day-24/","Frontend Rewind 2023 – Day 24","2023-12-24","Day 24 marks the grand finale of our festive calendar! Join us for a last day of frontend highlights of 2023.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/01/09/best-wordpress-themes-2024/","10 Best WordPress Themes for 2024","2024-01-09","Choosing the right WordPress theme is crucial for crafting an attractive and efficient website in 2024, and with these top picks, you can easily find the perfect fit for your needs.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/01/16/top-wordpress-plugins-2024/","8 Top Free & Premium WordPress Plugins for 2024","2024-01-16","From Amelia to Web Stories, these top WordPress plugins serve an impressive range of popular design features and functions.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/01/17/a-practical-introduction-to-scroll-driven-animations-with-css-scroll-and-view/","A Practical Introduction to Scroll-Driven Animations with CSS scroll() and view()","2024-01-17","With just CSS you can add scroll animations that toggle shadows on navbars, reveal images, add scrollytelling, link up carousel elements and much more.","마스크·레이어 / 캐러셀 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2024/01/24/experimental-css-only-carousels-with-scroll-driven-animations/","Experimental CSS-Only Carousels with Scroll-Driven Animations","2024-01-24","Three carousel experiments made with CSS scroll-driven animations, based on Francesco Zagami’s designs.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
