analysis_id,original_evidence_id,evidence_origin,option_code,option_name,source,domain,url,title,observed_evidence,source_pattern,relation_basis,evidence_strength_1_5,smyc_minimalism_fit_1_10,cognitive_clarity_1_10,motion_risk_1_10,recommendation_role,classification_note
16,261,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/rcl,Right-Click Logo — One Page Website Award,"메타: One Pager with a ready-to-use prompt for adding a right-click brand menu to your website logo. The interactive demo includes a real-time menu builder, so you can also preview and c / 관찰 소제목: Right-Click Logo | Similar One Page Websites | Framer - Build better sites, faster | Housemait",건축 프레이밍·전시,"가림, 개구부, 건축",5,9,8,2,primary support,검토
17,218,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/anatolii-grashchenko,Anatolii Grashchenko — One Page Website Award,"메타: Unique personal One Pager for creative technologist Anatolii Grashchenko, featuring a 3D scan of him working and live vitals streamed from his smartwatch. / 관찰 소제목: Anatolii Grashchenko | Similar One Page Websites | Framer - Build better sites, faster | Sky Clock",3D·공간 깊이,"가림, 깊이, 공간",4,9,8,3,primary support,검토
18,221,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/belen-jones,Belen Jones — One Page Website Award,"메타: Unique, brutalist One Pager for Belen Jones – featuring a 3D cube rotating projects. / 관찰 소제목: Belen Jones | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",3D·공간 깊이,"가림, 깊이, 공간",4,9,8,3,primary support,검토
19,165,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-519/,Weekly Designers Update #519 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #519 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Geex | UI/UX Design, Branding & Developmen",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
20,172,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-526/,Weekly Designers Update #526 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends, and plenty more to explore. / 관찰 소제목: Weekly Designers Update #526 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Iventions",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
21,179,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-533/,Weekly Designers Update #533 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #533 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Amaterasu",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
22,180,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-534/,Weekly Designers Update #534 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #534 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🔥 Must-See Design Picks | NYC Music OS",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
23,181,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-535/,Weekly Designers Update #535 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #535 | 🔥 Must-See Design Picks | The Pendragon Cycle — Rise of the Merlin | Google Santa Tracker",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
24,187,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-541/,Weekly Designers Update #541 | Muzli Blog,"메타: Weekly inspiration featuring futuristic portfolios, smart tools, and creative design twists. / 관찰 소제목: Weekly Designers Update #541 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🔥 Must-See Design Picks | Jason Bergh",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
25,491,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2025/08/28/interactive-video-projection-mapping-with-three-js/,Interactive Video Projection Mapping with Three.js,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: 3d, three.js, mask, motion, interactive, grid",공유 원근·깊이 | 레이어·마스크 | 모션·전환 | 미니멀·편집,"mask, 마스크, 가림, 개구부, 건축, 깊이, 레이어",5,10,8,3,primary support,채택
26,627,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2026/05/02/designing-against-the-gallery-a-two-year-journey-to-a-layered-portfolio-experience/,Designing Against the Gallery: A Two-Year Journey to a Layered Portfolio Experience,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: layer, layered, gallery, portfolio",레이어·마스크 | 캐러셀·순환 | 미니멀·편집,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어, gallery",5,10,8,2,primary support,채택
27,508,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2025/10/03/fluid-worlds-and-layered-visions-tomoya-okadas-digital-craft/,Fluid Worlds and Layered Visions: Tomoya Okada’s Digital Craft,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: immersive, layer, layered, motion",공유 원근·깊이 | 레이어·마스크 | 모션·전환,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어",5,9,8,3,primary support,채택
28,592,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2026/03/04/webgl-for-designers-creating-interactive-shader-driven-graphics-directly-in-the-browser/,"WebGL for Designers: Creating Interactive, Shader-Driven Graphics Directly in the Browser","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: webgl, layer, interactive",공유 원근·깊이 | 레이어·마스크 | 모션·전환,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어",5,9,8,3,primary support,채택
29,41,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/made-with-gsap-1,Made With Gsap - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: gsap,모션·전환,"가림, 개구부, 건축, 깊이, 레이어",5,9,8,2,primary support,채택
30,49,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/obys-r-experiment-space,Obys® Experiment Space - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interactive,모션·전환,"가림, 개구부, 건축, 깊이, 레이어",5,9,8,2,primary support,채택
31,70,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/yungbld-creative-studio,YUNGBLD CREATIVE STUDIO - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation,모션·전환,"가림, 개구부, 건축, 깊이, 레이어",5,9,8,2,primary support,채택
32,1,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/20-years-inspired-by-people,20 Years Inspired by People - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,직접 관련 패턴 미확인,"마스크, 개구부, 레이어",4,9,8,2,primary support,배제
33,253,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/michael-pumo,Michael Pumo — One Page Website Award,"메타: One Page portfolio (built using Storyblok CMS) for London-based freelance web designer and frontend developer, Michael Pumo. / 관찰 소제목: Michael Pumo | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
34,254,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/monolog,Monolog — One Page Website Award,"메타: Brilliant attention to detail and obvious care woven throughout this One Page portfolio (built with Webflow) for Monolog, the studio led by Huy “By Huy” Nguyen. / 관찰 소제목: Monolog | Similar One Page Websites | Framer - Build better sites, faster | Mainline Next.js Next.js Template built with Tailwind CSS",미니멀·에디토리얼 위계,레이어,3,10,8,2,primary support,검토
35,457,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2025/05/27/animated-product-grid-preview-with-gsap-clip-path/,Animated Product Grid Preview with GSAP & Clip-Path,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: clip, interactive, gsap, grid",레이어·마스크 | 모션·전환 | 미니멀·편집,"마스크, 가림, 개구부, 건축, 깊이, 레이어",5,10,8,2,primary support,채택
36,293,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2012/04/30/fluid-css3-slideshow-with-parallax-effect/,Fluid CSS3 Slideshow with Parallax Effect | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: depth, 3d, webgl, three.js, clip, reveal, window, carousel, slider, slideshow, animation, transition, scroll, interaction, portfolio, grid, performance",공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"reveal, transition, 전환, slide, 모션, interaction, 마스크, clip",5,8,7,7,comparative evidence,채택
37,282,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/?p=21765,perspective-origin | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, 3d, webgl, three.js, mask, clip, window, loop, horizontal, animation, motion, transition, scroll, portfolio, grid, performance",공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"transition, 전환, motion, 모션, mask, 마스크, clip",5,8,7,7,comparative evidence,채택
38,581,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2026/02/18/joffrey-spitzer-portfolio-a-minimalist-astro-gsap-build-with-reveals-flip-transitions-and-subtle-motion/,"Joffrey Spitzer Portfolio: A Minimalist Astro + GSAP Build with Reveals, Flip Transitions and Subtle Motion","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: reveal, animation, motion, transition, gsap, minimal, portfolio",레이어·마스크 | 모션·전환 | 미니멀·편집,"reveal, transition, 전환, motion, 모션, 마스크",5,8,6,6,comparative evidence,채택
39,596,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2026/03/11/svg-mask-transitions-on-scroll-with-gsap-and-scrolltrigger/,SVG Mask Transitions on Scroll with GSAP and ScrollTrigger,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: mask, reveal, transition, scroll, gsap, grid",레이어·마스크 | 모션·전환 | 미니멀·편집,"reveal, transition, 전환, 모션, mask, 마스크",5,8,6,6,comparative evidence,채택
40,630,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2026/05/06/from-shader-uniforms-to-clip-path-wipes-how-gsap-drives-my-portfolio/,From Shader Uniforms to Clip-Path Wipes: How GSAP Drives My Portfolio,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: clip, reveal, gsap, portfolio",레이어·마스크 | 모션·전환 | 미니멀·편집,"reveal, 전환, 모션, 마스크, clip, wipe",5,8,6,6,comparative evidence,채택
41,573,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2026/02/02/building-a-scroll-revealed-webgl-gallery-with-gsap-three-js-astro-and-barba-js/,"Building a Scroll-Revealed WebGL Gallery with GSAP, Three.js, Astro and Barba.js","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: webgl, three.js, reveal, gallery, transition, scroll, gsap",공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환,"reveal, transition, 전환, 모션, 마스크",5,7,6,7,comparative evidence,채택
42,40,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Awwwards,awwwards.com,https://www.awwwards.com/sites/made-in-may,Made in May - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: transition, interaction",모션·전환,"transition, 전환, 모션, interaction",5,7,6,6,comparative evidence,채택
43,8,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Awwwards,awwwards.com,https://www.awwwards.com/sites/artem-shcherbakov,Artem Shcherbakov - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: webgl, transition, interactive, portfolio, typography",공유 원근·깊이 | 모션·전환 | 미니멀·편집,"transition, 전환, 모션",5,8,6,7,comparative evidence,채택
44,4,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Awwwards,awwwards.com,https://www.awwwards.com/sites/ai-in-design-report-2026,Ai in Design Report 2026 - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion, editorial",모션·전환 | 미니멀·편집,"전환, motion, 모션",5,8,6,6,comparative evidence,채택
45,5,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Awwwards,awwwards.com,https://www.awwwards.com/sites/alethia,Alethia - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interaction,모션·전환,"전환, 모션, interaction",5,7,6,6,comparative evidence,채택
46,29,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Awwwards,awwwards.com,https://www.awwwards.com/sites/hiroto-sato,Hiroto Sato - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, interactive, portfolio",공유 원근·깊이 | 모션·전환 | 미니멀·편집,"전환, motion, 모션",5,8,6,7,comparative evidence,채택
47,48,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Awwwards,awwwards.com,https://www.awwwards.com/sites/normal-is-boring,NORMAL IS BORING - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion,모션·전환,"전환, motion, 모션",5,7,6,6,comparative evidence,채택
48,175,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-529/,Weekly Designers Update #529 | Muzli Blog,"메타: A curated roundup of cutting-edge design projects, tools, and trends, your weekly creative boost from Muzli. / 관찰 소제목: Weekly Designers Update #529 | 🏆 Muzli Community Uploads | Nas Illmatic | Design Trends 2026: Where AI Meets Emotion",모션·상호작용,"전환, motion, 모션",3,7,6,6,comparative evidence,검토
49,228,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,onepagelove.com,onepagelove.com,https://onepagelove.com/experience-lab,Experience.Lab — One Page Website Award,"메타: Motion-led One Pager (built with Framer) for Experience.Lab – Publicis Groupe Japan’s hub delivering solutions across APAC. Really love how they integrated the team members on hove / 관찰 소제목: Experience.Lab | Similar One Page Websites | Framer - Build better sites, faster | Mainline Next.js Next.js Template built with Tailwind CSS",모션·상호작용,"전환, motion, 모션",3,7,6,6,comparative evidence,검토
50,241,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,onepagelove.com,onepagelove.com,https://onepagelove.com/johny-vino,Johny Vino — One Page Website Award,"메타: Slick One Page portfolio for Johny Vino, showcasing his product and UX/UI design work within horizontal sliders. / 관찰 소제목: Johny Vino | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",캐러셀·갤러리 전환,"전환, slide",3,7,6,6,comparative evidence,검토
51,72,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,figma.com,figma.com,https://www.figma.com/community/file/1337383844852052585/parallax-scrolling-example,Parallax-Scrolling-Example | Figma,메타: Simple prototype showing parallax animation,모션·상호작용,"전환, 모션",3,7,6,7,comparative evidence,검토
52,121,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-475/,Weekly Designers Update #475 | Muzli Blog,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #475 | Web design inspiration | Monkey Talkie — Creative Video Agency | The Line Studio — Animation Studio London",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
53,145,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-499/,Weekly Designers Update #499 | Muzli Blog,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #499 | 🔥 Must-See Design Picks | Basement Studio — A Virtual Space with Real-World Attitude | Navigate — Engaging Illustrations and Subtle Scroll Animations",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
54,166,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-520/,Weekly Designers Update #520 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #520 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Hover Exploration №002",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
55,227,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,onepagelove.com,onepagelove.com,https://onepagelove.com/digital-original-xr,Digital Original XR — One Page Website Award,"메타: Incredibly impressive meta quest demo that activates as you scroll this One Pager for Digital Original XR. The app experience lets users view art in virtual and mixed reality, brow / 관찰 소제목: Digital Original XR | Similar One Page Websites | Framer - Build better sites, faster | Housemait",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
56,230,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,onepagelove.com,onepagelove.com,https://onepagelove.com/fourmula,Fourmula — One Page Website Award,"메타: One Pager (built with Webflow) for an AI product generator tool called Fourmula. Always a fan of an interactive onboarding before scrolling, well played. / 관찰 소제목: Fourmula | Similar One Page Websites | Framer - Build better sites, faster | Housemait",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
57,234,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,onepagelove.com,onepagelove.com,https://onepagelove.com/glyphs-grids,Glyphs & Grids — One Page Website Award,"메타: Playful inline icon animations bring charm to the storytelling in this launching soon page for Glyphs & Grids, a macOS font manager. / 관찰 소제목: Glyphs & Grids | Similar One Page Websites | Framer - Build better sites, faster | Housemait",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
58,239,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,onepagelove.com,onepagelove.com,https://onepagelove.com/housemait,Housemait — One Page Website Award,"메타: Long-scrolling Landing Page for Housemait, an app to help family calendars, meals, shopping and chores, with an AI assistant accessible through WhatsApp. / 관찰 소제목: Housemait | Similar One Page Websites | Framer - Build better sites, faster | Triple Kingdom",모션·상호작용,"전환, 모션",3,7,6,6,comparative evidence,검토
59,677,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2026/07/30/building-an-infinite-gsap-scroll-gallery-with-parallax-and-flip-transitions/,Building an Infinite GSAP Scroll Gallery with Parallax and Flip Transitions,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: reveal, gallery, infinite, animation, transition, scroll, gsap",레이어·마스크 | 캐러셀·순환 | 모션·전환,"reveal, transition, 전환, 모션, 마스크",5,7,6,7,comparative evidence,채택
60,469,679-row verified ledger reclassification,B,완전 숨김 후 전환 시 등장,Codrops,tympanus.net,https://tympanus.net/codrops/2025/06/25/designing-truekind-a-skincare-brands-journey-through-moodboards-motion-and-meaning/,"Designing TrueKind: A Skincare Brand’s Journey Through Moodboards, Motion, and Meaning","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: reveal, motion, gsap",레이어·마스크 | 모션·전환,"reveal, 전환, motion, 모션, 마스크",5,7,6,6,comparative evidence,채택
