id,source,domain,url,title,observable_pattern,evidence,decision,reason,verification
23,Awwwards,awwwards.com,https://www.awwwards.com/sites/vectr,Vectr - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
24,Awwwards,awwwards.com,https://www.awwwards.com/sites/21-hrs-on-the-moon,21 Hrs On The Moon - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
25,Awwwards,awwwards.com,https://www.awwwards.com/sites/brunello-cucinelli-ai-e-com,Brunello Cucinelli - AI E-com - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
26,Awwwards,awwwards.com,https://www.awwwards.com/sites/julien-calot,Julien Calot - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
27,Awwwards,awwwards.com,https://www.awwwards.com/sites/depo-luxe,Depo Luxe - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
28,Awwwards,awwwards.com,https://www.awwwards.com/sites/monolog,MONOLOG - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
29,Awwwards,awwwards.com,https://www.awwwards.com/sites/studio-ol,Studio OL - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
30,Awwwards,awwwards.com,https://www.awwwards.com/sites/pizza-amici,Pizza Amici - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
31,Awwwards,awwwards.com,https://www.awwwards.com/sites/ai-in-design-report-2026,Ai in Design Report 2026 - Awwwards Honorable Mention,모션·전환 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion, editorial",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
32,Awwwards,awwwards.com,https://www.awwwards.com/sites/planetooote-digital-obsession,PLANETOOOTE :Digital Obsession - Awwwards Honorable Mention,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
33,Awwwards,awwwards.com,https://www.awwwards.com/sites/max-kalinsky,Max Kalinsky - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
34,Awwwards,awwwards.com,https://www.awwwards.com/sites/https-www-mosaicist-com,https://www.mosaicist.com/ - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
35,Awwwards,awwwards.com,https://www.awwwards.com/sites/hilden-kaira,Hildén & Kaira - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
36,Awwwards,awwwards.com,https://www.awwwards.com/sites/no-art,No Art - Awwwards Honorable Mention,공유 원근·깊이 | 모션·전환,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive, interactive",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
37,Awwwards,awwwards.com,https://www.awwwards.com/sites/nexola-agencys-website,NEXOLA - Agency’s Website - Awwwards Honorable Mention,모션·전환 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, portfolio",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
38,Awwwards,awwwards.com,https://www.awwwards.com/sites/vero-new-york,Vero New-York - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
39,Awwwards,awwwards.com,https://www.awwwards.com/sites/crxtianhub-portfolio,CRXTIANHUB — PORTFOLIO - Awwwards Honorable Mention,미니멀·편집,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio,보조 채택,깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용,개별 사례 페이지 본문 수신 성공
40,Awwwards,awwwards.com,https://www.awwwards.com/sites/ducati-superleggera-v4,Ducati Superleggera V4 - Awwwards Honorable Mention,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
41,Awwwards,awwwards.com,https://www.awwwards.com/sites/radian,Radian - Awwwards SOTD,모션·전환,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: scroll, interaction",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
42,Awwwards,awwwards.com,https://www.awwwards.com/sites/kononenko-architectural-bureau,Kononenko Architectural Bureau - Awwwards Honorable Mention,공유 원근·깊이 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architectural, minimal, typography",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
43,Awwwards,awwwards.com,https://www.awwwards.com/sites/alethia,Alethia - Awwwards Honorable Mention,모션·전환,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interaction,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
44,Awwwards,awwwards.com,https://www.awwwards.com/sites/eleos,Eleos - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
45,Awwwards,awwwards.com,https://www.awwwards.com/sites/20-years-inspired-by-people,20 Years Inspired by People - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
46,Awwwards,awwwards.com,https://www.awwwards.com/sites/cobloc,Cobloc - Awwwards Honorable Mention,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
47,Awwwards,awwwards.com,https://www.awwwards.com/sites/yungbld-creative-studio,YUNGBLD CREATIVE STUDIO - Awwwards Honorable Mention,모션·전환,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
48,Awwwards,awwwards.com,https://www.awwwards.com/sites/pelizzari-studio-2,Pelizzari Studio - Awwwards Honorable Mention,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
49,Awwwards,awwwards.com,https://www.awwwards.com/sites/catalyst-behavioral,Catalyst Behavioral - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
50,Awwwards,awwwards.com,https://www.awwwards.com/sites/bucks-sauce,Bucks Sauce - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
51,Awwwards,awwwards.com,https://www.awwwards.com/sites/serotoninn,Serotoninn - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
52,Awwwards,awwwards.com,https://www.awwwards.com/sites/cula-technologies,Cula Technologies - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
53,Awwwards,awwwards.com,https://www.awwwards.com/sites/bla-station,Blå Station - Awwwards Honorable Mention,미니멀·편집 | 성능·접근성,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial, performance",보조 채택,깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용,개별 사례 페이지 본문 수신 성공
54,Awwwards,awwwards.com,https://www.awwwards.com/sites/viacheslav-novoseltsev,Viacheslav Novoseltsev - Awwwards Honorable Mention,미니멀·편집,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio,보조 채택,깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용,개별 사례 페이지 본문 수신 성공
55,Awwwards,awwwards.com,https://www.awwwards.com/sites/mr-day,Mr Day - Awwwards Honorable Mention,공유 원근·깊이 | 모션·전환,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture, animation",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
56,Awwwards,awwwards.com,https://www.awwwards.com/sites/heco-partners-1,Heco Partners - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
57,Awwwards,awwwards.com,https://www.awwwards.com/sites/units,Units - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
58,Awwwards,awwwards.com,https://www.awwwards.com/sites/ylem,YLEM - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
59,Awwwards,awwwards.com,https://www.awwwards.com/sites/gregor-collienne,Gregor Collienne - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
60,Awwwards,awwwards.com,https://www.awwwards.com/sites/sstr-friction-reduction,SSTR - Friction Reduction - Awwwards Honorable Mention,공유 원근·깊이 | 모션·전환 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, minimal, editorial, grid",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
61,Awwwards,awwwards.com,https://www.awwwards.com/sites/dawn-website-refresh,Dawn | Website Refresh - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
62,Awwwards,awwwards.com,https://www.awwwards.com/sites/orbea,ORBEA - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
63,Awwwards,awwwards.com,https://www.awwwards.com/sites/apini-studio,àpini studio - Awwwards Honorable Mention,미니멀·편집,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: clean,보조 채택,깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용,개별 사례 페이지 본문 수신 성공
64,Awwwards,awwwards.com,https://www.awwwards.com/sites/kettal-com,kettal.com - Awwwards Honorable Mention,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
65,Awwwards,awwwards.com,https://www.awwwards.com/sites/apoha,Apoha - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
66,Awwwards,awwwards.com,https://www.awwwards.com/sites/wembi,Wembi - Awwwards SOTD,성능·접근성,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: performance,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
67,Awwwards,awwwards.com,https://www.awwwards.com/sites/linka,Linka - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
68,Awwwards,awwwards.com,https://www.awwwards.com/sites/displace-agency,Displace Agency - Awwwards Honorable Mention,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
69,Awwwards,awwwards.com,https://www.awwwards.com/sites/made-in-may,Made in May - Awwwards Honorable Mention,모션·전환,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: transition, interaction",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
70,Awwwards,awwwards.com,https://www.awwwards.com/sites/oobe-xr,Oobe-Xr - Awwwards Honorable Mention,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
71,Codrops,tympanus.net,https://tympanus.net/codrops/css_reference/perspective/,perspective | Codrops,공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, layer, mask, clip, window, loop, animation, motion, transition, scroll, portfolio, grid, performance",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 문서 페이지 본문 수신 성공
72,Codrops,tympanus.net,https://tympanus.net/codrops/?p=21765,perspective-origin | Codrops,공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, 3d, webgl, three.js, mask, clip, window, loop, horizontal, animation, motion, transition, scroll, portfolio, grid, performance",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 문서 페이지 본문 수신 성공
73,Codrops,tympanus.net,https://tympanus.net/codrops/css_reference/transform/,transform | Codrops,공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, mask, clip, window, horizontal, animation, transition, scroll, interaction, portfolio, grid, performance",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 문서 페이지 본문 수신 성공
