id,source,title,URL,observed_pattern,interaction,clarity,motion_cost,accessibility_risk,SMYC_fit,verdict,evidence_confidence,evidence_terms,evidence_basis
11,Awwwards,NORMAL IS BORING - Awwwards SOTD,https://www.awwwards.com/sites/normal-is-boring,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion
12,Awwwards,Dragonfly Redux - Awwwards SOTD,https://www.awwwards.com/sites/dragonfly-redux,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
13,Awwwards,Lacoste — Polo Factory - Awwwards SOTD,https://www.awwwards.com/sites/lacoste-polo-factory,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
14,Awwwards,Lama Lama - Awwwards SOTD,https://www.awwwards.com/sites/lama-lama-2,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
15,Awwwards,Glitch&Grit - Awwwards SOTD,https://www.awwwards.com/sites/glitch-grit,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
16,Awwwards,IZANAMI - Awwwards SOTD,https://www.awwwards.com/sites/izanami,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
17,Awwwards,Hiroto Sato - Awwwards SOTD,https://www.awwwards.com/sites/hiroto-sato,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,3d,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, interactive, portfolio"
18,Awwwards,CoffeeTech® - Awwwards SOTD,https://www.awwwards.com/sites/coffeetech-r,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
19,Awwwards,RISK - Awwwards SOTD,https://www.awwwards.com/sites/risk,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
20,Awwwards,House of Honey - Awwwards SOTD,https://www.awwwards.com/sites/house-of-honey-1,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial
21,Awwwards,PP Neue Montreal - Awwwards SOTD,https://www.awwwards.com/sites/pp-neue-montreal,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
22,Awwwards,Longbow - Awwwards SOTD,https://www.awwwards.com/sites/longbow,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, typography, clean"
23,Awwwards,Vectr - Awwwards SOTD,https://www.awwwards.com/sites/vectr,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
24,Awwwards,21 Hrs On The Moon - Awwwards SOTD,https://www.awwwards.com/sites/21-hrs-on-the-moon,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
25,Awwwards,Brunello Cucinelli - AI E-com - Awwwards SOTD,https://www.awwwards.com/sites/brunello-cucinelli-ai-e-com,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
26,Awwwards,Julien Calot - Awwwards SOTD,https://www.awwwards.com/sites/julien-calot,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
27,Awwwards,Depo Luxe - Awwwards SOTD,https://www.awwwards.com/sites/depo-luxe,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
28,Awwwards,MONOLOG - Awwwards SOTD,https://www.awwwards.com/sites/monolog,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
29,Awwwards,Studio OL - Awwwards Honorable Mention,https://www.awwwards.com/sites/studio-ol,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
30,Awwwards,Pizza Amici - Awwwards Honorable Mention,https://www.awwwards.com/sites/pizza-amici,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
31,Awwwards,Ai in Design Report 2026 - Awwwards Honorable Mention,https://www.awwwards.com/sites/ai-in-design-report-2026,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion, editorial"
32,Awwwards,PLANETOOOTE :Digital Obsession - Awwwards Honorable Mention,https://www.awwwards.com/sites/planetooote-digital-obsession,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,immersive,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive
33,Awwwards,Max Kalinsky - Awwwards Honorable Mention,https://www.awwwards.com/sites/max-kalinsky,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
34,Awwwards,https://www.mosaicist.com/ - Awwwards Honorable Mention,https://www.awwwards.com/sites/https-www-mosaicist-com,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
35,Awwwards,Hildén & Kaira - Awwwards SOTD,https://www.awwwards.com/sites/hilden-kaira,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
36,Awwwards,No Art - Awwwards Honorable Mention,https://www.awwwards.com/sites/no-art,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,immersive,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive, interactive"
37,Awwwards,NEXOLA - Agency’s Website - Awwwards Honorable Mention,https://www.awwwards.com/sites/nexola-agencys-website,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, portfolio"
38,Awwwards,Vero New-York - Awwwards Honorable Mention,https://www.awwwards.com/sites/vero-new-york,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
39,Awwwards,CRXTIANHUB — PORTFOLIO - Awwwards Honorable Mention,https://www.awwwards.com/sites/crxtianhub-portfolio,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio
40,Awwwards,Ducati Superleggera V4 - Awwwards Honorable Mention,https://www.awwwards.com/sites/ducati-superleggera-v4,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,immersive,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive
41,Awwwards,Radian - Awwwards SOTD,https://www.awwwards.com/sites/radian,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: scroll, interaction"
42,Awwwards,Kononenko Architectural Bureau - Awwwards Honorable Mention,https://www.awwwards.com/sites/kononenko-architectural-bureau,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architectural, minimal, typography"
43,Awwwards,Alethia - Awwwards Honorable Mention,https://www.awwwards.com/sites/alethia,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interaction
44,Awwwards,Eleos - Awwwards Honorable Mention,https://www.awwwards.com/sites/eleos,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
45,Awwwards,20 Years Inspired by People - Awwwards Honorable Mention,https://www.awwwards.com/sites/20-years-inspired-by-people,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
46,Awwwards,Cobloc - Awwwards Honorable Mention,https://www.awwwards.com/sites/cobloc,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture
47,Awwwards,YUNGBLD CREATIVE STUDIO - Awwwards Honorable Mention,https://www.awwwards.com/sites/yungbld-creative-studio,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation
48,Awwwards,Pelizzari Studio - Awwwards Honorable Mention,https://www.awwwards.com/sites/pelizzari-studio-2,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture
49,Awwwards,Catalyst Behavioral - Awwwards Honorable Mention,https://www.awwwards.com/sites/catalyst-behavioral,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
50,Awwwards,Bucks Sauce - Awwwards SOTD,https://www.awwwards.com/sites/bucks-sauce,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
51,Awwwards,Serotoninn - Awwwards Honorable Mention,https://www.awwwards.com/sites/serotoninn,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
52,Awwwards,Cula Technologies - Awwwards Honorable Mention,https://www.awwwards.com/sites/cula-technologies,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
53,Awwwards,Blå Station - Awwwards Honorable Mention,https://www.awwwards.com/sites/bla-station,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial, performance"
54,Awwwards,Viacheslav Novoseltsev - Awwwards Honorable Mention,https://www.awwwards.com/sites/viacheslav-novoseltsev,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio
55,Awwwards,Mr Day - Awwwards Honorable Mention,https://www.awwwards.com/sites/mr-day,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture, animation"
56,Awwwards,Heco Partners - Awwwards Honorable Mention,https://www.awwwards.com/sites/heco-partners-1,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
57,Awwwards,Units - Awwwards SOTD,https://www.awwwards.com/sites/units,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
58,Awwwards,YLEM - Awwwards Honorable Mention,https://www.awwwards.com/sites/ylem,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
59,Awwwards,Gregor Collienne - Awwwards Honorable Mention,https://www.awwwards.com/sites/gregor-collienne,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
60,Awwwards,SSTR - Friction Reduction - Awwwards Honorable Mention,https://www.awwwards.com/sites/sstr-friction-reduction,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,3d,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, minimal, editorial, grid"
61,Awwwards,Dawn | Website Refresh - Awwwards Honorable Mention,https://www.awwwards.com/sites/dawn-website-refresh,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
62,Awwwards,ORBEA - Awwwards Honorable Mention,https://www.awwwards.com/sites/orbea,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
63,Awwwards,àpini studio - Awwwards Honorable Mention,https://www.awwwards.com/sites/apini-studio,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: clean
64,Awwwards,kettal.com - Awwwards Honorable Mention,https://www.awwwards.com/sites/kettal-com,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,immersive,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive
65,Awwwards,Apoha - Awwwards Honorable Mention,https://www.awwwards.com/sites/apoha,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
66,Awwwards,Wembi - Awwwards SOTD,https://www.awwwards.com/sites/wembi,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: performance
67,Awwwards,Linka - Awwwards Honorable Mention,https://www.awwwards.com/sites/linka,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
68,Awwwards,Displace Agency - Awwwards Honorable Mention,https://www.awwwards.com/sites/displace-agency,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
69,Awwwards,Made in May - Awwwards Honorable Mention,https://www.awwwards.com/sites/made-in-may,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: transition, interaction"
70,Awwwards,Oobe-Xr - Awwwards Honorable Mention,https://www.awwwards.com/sites/oobe-xr,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,immersive,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive
71,Codrops,perspective | Codrops,https://tympanus.net/codrops/css_reference/perspective/,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,높음,perspective,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, layer, mask, clip, window, loop, animation, motion, transition, scroll, portfolio, grid, performance"
72,Codrops,perspective-origin | Codrops,https://tympanus.net/codrops/?p=21765,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,높음,perspective,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, 3d, webgl, three.js, mask, clip, window, loop, horizontal, animation, motion, transition, scroll, portfolio, grid, performance"
73,Codrops,transform | Codrops,https://tympanus.net/codrops/css_reference/transform/,hidden-offstage,활성 템플릿 외 항목은 개구부 밖 또는 마스크 뒤에 완전히 숨기고 전환 시에만 진입,4/5,중간 — 오프스테이지 위치와 마스크 경계의 동기화 필요,중간 — 숨은 항목의 포커스·읽기 순서를 명시적으로 제거해야 함,2/5,조건부 배제,중간,"mask, clip","개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, mask, clip, window, horizontal, animation, transition, scroll, interaction, portfolio, grid, performance"
74,Codrops,Image Techniques for Creating Depth in Web Design | Codrops,https://tympanus.net/codrops/2013/02/27/image-techniques-for-creating-depth-in-web-design/,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,높음,depth,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, layer, clip, window, animation, motion, transition, scroll, portfolio, grid, performance"
